AcctNo,TOTALITEMS,PaidItems,ReturnedItems,ODLimit,ODStatus,ProdCode,BusinessFlag,AccountStatus,RegEValue,OpenDate,AvgColBal,DepositAmount,DepositCount,swipes,spend
7A1420A87D6CFAACDB8EC0173400EF531B14D048,0,0,,200.00,0,0L,P,O,D,2023-09-15 00:00:00.000,622,5616.97,5	0.00	0.00	0.00	0.00,28,1329.65
75FBEF101B95589E927AF74536CE22D9C9119860,0,0,,0.00,0,0O,P,O,D,2024-10-23 00:00:00.000,379,505.00,6	0.00	0.00	0.00	0.00,9,442.56
0420EC8B96F30323BD064C706EE050469F71C937,0,0,,800.00,0,0L,P,O,N,2019-04-23 00:00:00.000,3431,4260.07,3	0.00	0.00	0.00	0.00,18,1289.25
B5BD8525AF3BF3E46FD2BB33D8F4E3CCDAE0E4D3,0,0,,1000.00,0,0J,P,O,D,2019-05-28 00:00:00.000,28874,3719.70,1	0.00	0.00	0.00	0.00,0,0.00
504D727DA3281F20BD66D13C2D6C1B7E1066C16C,0,0,,0.00,0,0B,P,O,D,2010-02-01 00:00:00.000,782777,0.00,0	0.00	0.00	0.00	0.00,0,0.00
408DA0F4F3D9A5EF7E67B47705FA586C1FDA996A,5,5,,200.00,0,0O,P,O,Y,2007-08-01 00:00:00.000,654,5237.13,4	150.00	0.00	0.00	0.00,58,2440.62
DE6EEE11749AC91BD9230ED0DFD3019B7B247043,53,53,,1000.00,0,0L,P,O,Y,2021-06-14 00:00:00.000,329,4664.35,18	1320.00	0.00	330.00	0.00,29,1333.44
9221AE5BA80DAECA5D629EA254E3BC71766489F0,0,0,,200.00,0,0W,P,O,D,2010-08-18 00:00:00.000,9887,2388.28,3	0.00	0.00	0.00	0.00,0,0.00
CF19C17F93AF07A38F7BCEED8081FBB1DCCF66B8,21,21,,0.00,0,0O,P,O,D,2007-03-14 00:00:00.000,286,2400.00,1	690.00	120.00	60.00	0.00,0,0.00
8BBDC650A210863B2E8C41400B58324CA5AE6ABB,0,0,,0.00,0,03,B,O,D,2022-06-17 00:00:00.000,53,151.00,1	0.00	0.00	0.00	0.00,0,0.00
35129A09CDB3E1856998502970E09AC755D387C3,0,0,,0.00,0,0K,B,O,D,2025-02-19 00:00:00.000,7773,0.00,0	0.00	0.00	0.00	0.00,0,0.00
1D4556FC25EE24E79A29E5495D340F7E9DD5E532,0,0,,0.00,0,0X,P,O,D,2021-12-17 00:00:00.000,24210169,3349133.55,3	0.00	0.00	0.00	0.00,0,0.00
E3C31E9F93FD734A8266DF5DEB8F97E857A8EB4C,0,0,,0.00,0,0K,B,O,D,2022-11-22 00:00:00.000,245892,77994.59,1	0.00	0.00	0.00	0.00,0,0.00
D69484764EDFD92025C499E546F1955F901BC50B,0,0,,0.00,0,0K,B,O,D,2024-03-27 00:00:00.000,1585,1969.00,2	0.00	0.00	0.00	0.00,4,1804.76
B1C95516E09E03F8FBC75397E623831338ADE9D0,0,0,,0.00,0,0O,P,O,N,2019-01-07 00:00:00.000,87,0.00,0	0.00	90.00	0.00	0.00,0,0.00
A502FAA5F03EB6B24CC651400B89B80A22B77242,0,0,,0.00,0,0O,P,O,D,2025-11-18 00:00:00.000,133,1500.00,1	0.00	0.00	0.00	0.00,0,0.00
1E684B395A3346CE610498BA5742D3F08FF8B16C,1,1,,200.00,0,0L,P,O,D,1994-06-29 00:00:00.000,144,290.00,2	30.00	0.00	0.00	0.00,0,0.00
648F3B0C33B721A0AD0E728EA7A123565C8C2FA8,0,0,,0.00,0,0O,P,O,D,2014-10-28 00:00:00.000,9490,0.00,0	0.00	0.00	0.00	0.00,0,0.00
CE122922CAB170B9BE9CC724D7EEC3557CB595C6,2,2,,0.00,0,0O,P,O,D,2025-02-19 00:00:00.000,26,10.00,1	60.00	0.00	0.00	0.00,0,0.00
4F8E75529FFADDF14712094F21E99DAD9F7FC092,0,0,,600.00,0,0J,P,O,Y,2016-07-22 00:00:00.000,8736,517.43,1	0.00	0.00	0.00	0.00,3,168.71
EDD5174FC247B29A045289E87BF1D38EC5C2895F,0,0,,0.00,0,0J,P,O,D,2017-10-20 00:00:00.000,23084,0.00,0	0.00	0.00	0.00	0.00,0,0.00
456DC76312A7C605F89763E2A50E1FB1E47AAAD5,0,0,,1000.00,0,0L,P,O,D,2025-09-03 00:00:00.000,110,922.50,3	0.00	0.00	0.00	0.00,0,0.00
20C6151225C1394EC926F258E59C1513D8650EF8,0,0,,1000.00,0,0L,P,O,D,2023-08-24 00:00:00.000,256,1030.32,6	0.00	0.00	0.00	0.00,17,932.99
62F98F8DA129BBBD15A68E6EE9FB95203D5AF72F,0,0,,400.00,0,0O,P,O,D,2022-10-19 00:00:00.000,585,0.00,0	0.00	0.00	0.00	0.00,20,599.62
075F15A9CEF78B45477C87D336A41BE134C744B4,0,0,,200.00,0,0L,P,O,Y,2023-07-24 00:00:00.000,304,1400.47,9	0.00	0.00	0.00	0.00,21,1187.25
34E73DFC537DEF9BF2D3CBA00C4551C269F27C5B,0,0,,1000.00,0,0O,P,O,N,2017-02-28 00:00:00.000,4732,8920.86,4	0.00	0.00	0.00	0.00,4,544.53
328D920349D466EAF0F0360B634935F4EA640D02,0,0,,0.00,0,0B,B,O,D,2006-06-07 00:00:00.000,3182,4719.81,1	0.00	0.00	0.00	0.00,0,0.00
1A29F0B39C8D02B916D862D2B2BE2FEB48139B93,0,0,,0.00,0,0B,B,O,D,2007-06-13 00:00:00.000,14141,0.00,0	0.00	0.00	0.00	0.00,0,0.00
D3D2B68A8E9788A4154A324D55845DC8FE017B15,0,0,,700.00,0,0O,P,O,Y,2005-01-13 00:00:00.000,528,275.00,2	0.00	0.00	0.00	0.00,1,24.07
C8D8834379F7AFEF1C0D0BCC3878025AECB87E24,0,0,,0.00,0,0O,P,X,D,2014-02-11 00:00:00.000,0,0.00,0	0.00	0.00	0.00	0.00,0,0.00
ED75E28CD24C5E78072A70C8443115E9E3F0C781,0,0,,0.00,0,0D,B,O,D,2005-09-13 00:00:00.000,284781,276472.88,1	0.00	0.00	0.00	0.00,0,0.00
44C2120994C8893B11D47ED9B118E25CE8208BB7,0,0,,0.00,0,0B,B,O,D,2006-02-17 00:00:00.000,24644,0.00,0	0.00	0.00	0.00	0.00,0,0.00
28813DB93930962F4CB8286C32F45E6B1CAFD834,0,0,,0.00,0,0B,B,O,D,2006-05-16 00:00:00.000,27703,7000.00,2	0.00	0.00	0.00	0.00,0,0.00
5B06083C979A98CF051512BDDC9C46D6AA7DAB64,0,0,,1000.00,0,0D,P,O,N,2006-02-17 00:00:00.000,81589,21663.90,17	0.00	0.00	0.00	0.00,0,0.00
084877990C603C0C73DEABD4CD041650D5A5C882,0,0,,700.00,0,0J,P,O,Y,2002-08-29 00:00:00.000,1896,3954.04,5	0.00	0.00	0.00	0.00,30,2401.44
D10AD2BA013BAACCC447F663428B1E33C16DCD1C,0,0,,700.00,0,0O,P,O,Y,2012-09-12 00:00:00.000,2660,1475.00,1	0.00	0.00	0.00	0.00,0,0.00
89862CACFFF5B755622358894837A1BA5E9C8B7E,0,0,,0.00,0,0J,P,O,D,2012-12-21 00:00:00.000,289885,6000.00,2	0.00	0.00	0.00	0.00,0,0.00
24664DE3014BEFA0FA547B81A6DC2C84593E11B4,0,0,,1000.00,0,0O,P,O,D,2016-09-14 00:00:00.000,221,3214.85,8	0.00	0.00	0.00	0.00,12,1424.29
9709B5A6E5C22243B68A886B930E30DA931FF03B,0,0,,0.00,0,0J,P,O,D,2011-08-12 00:00:00.000,17007,2308.00,1	0.00	0.00	0.00	0.00,0,0.00
8EBA3AF9DCA48ACF7CEA8793379A9FD82B88AF59,0,0,,0.00,0,0X,B,O,D,2023-09-14 00:00:00.000,385608,526843.13,7	0.00	0.00	0.00	0.00,0,0.00
89B396CF539F17FAFC9169E4588A75E6FC87FFE2,18,18,,700.00,0,0O,P,O,Y,2011-07-01 00:00:00.000,585,4716.57,8	780.00	0.00	30.00	0.00,25,1190.48
247E3F75C8E4081236D586B3D5CD6F4C862A0A61,0,0,,0.00,0,0K,B,O,D,2023-07-17 00:00:00.000,20557,0.00,0	0.00	0.00	0.00	0.00,0,0.00
9B3107E426C8F60EA0EC95C94855B8BF7D7ADAFE,0,0,,0.00,0,03,B,O,D,2023-06-01 00:00:00.000,167283,650037.09,56	0.00	0.00	0.00	0.00,0,0.00
F03CA980B8AF8F60B57F8E808F556ABDD06D8B82,0,0,,0.00,0,05,B,O,D,2025-05-12 00:00:00.000,36623,0.00,0	0.00	0.00	0.00	0.00,0,0.00
55F67386F5E659B439892F4C8010513690264FEA,1,1,,600.00,0,0L,P,O,Y,2015-10-30 00:00:00.000,521,480.00,1	30.00	0.00	0.00	0.00,0,0.00
989863D6F9D9DE417DC865F251759BE3B84C0362,0,0,,0.00,0,0K,B,O,D,2018-02-15 00:00:00.000,27994,3000.00,2	0.00	0.00	0.00	0.00,0,0.00
BC813B862F1CDE445192790E6F2B7205DA3C0C7E,0,0,,800.00,0,0L,P,O,D,2025-05-13 00:00:00.000,535,2928.78,8	0.00	0.00	0.00	0.00,54,880.96
0B4A7527259BA48CC15A6F8ABB2EEDA444A18E08,0,0,,1000.00,0,0J,P,O,N,2020-08-28 00:00:00.000,6435,8766.48,1	0.00	0.00	0.00	0.00,0,0.00
3A99A221AF911EAB4E0103AF33855CAEEF2B701D,0,0,,400.00,0,0J,P,O,D,2019-09-25 00:00:00.000,9793,500.00,1	0.00	0.00	0.00	0.00,0,0.00
0EF190104DA29699BEF59334F8A8FC6F1710815E,0,0,,0.00,0,0O,P,O,N,2025-03-26 00:00:00.000,26,861.71,19	0.00	0.00	0.00	0.00,0,0.00
05CF568CDF9CB5FF670CF543B0A9076929326F44,0,0,,0.00,0,0L,P,O,D,2025-12-11 00:00:00.000,1146,4907.00,2	0.00	0.00	0.00	0.00,0,0.00
A5109436437CCD01294909E12BF2E25349BEE401,0,0,,0.00,0,06,B,O,D,2013-01-25 00:00:00.000,4291,0.00,0	0.00	0.00	0.00	0.00,0,0.00
00AFDCCF6CA25BF355901D67AD5EFDF47B70B53D,0,0,,1000.00,0,0D,B,O,N,2008-03-07 00:00:00.000,2006,0.00,0	0.00	0.00	0.00	0.00,0,0.00
5A1B08F1EE49E77C5A8C1C98293BF47F1DD46E47,0,0,,700.00,0,0L,P,O,Y,2007-02-23 00:00:00.000,156,0.00,0	0.00	0.00	0.00	0.00,0,0.00
8A16FF11C557171A1D00279DD636BBC9F91F408C,0,0,,0.00,0,05,B,O,N,2007-08-20 00:00:00.000,2583,16907.29,7	0.00	0.00	0.00	0.00,0,0.00
1B8BB7D8A99CDA88EF0FA9B61CDAD30F564876C4,0,0,,0.00,0,0J,P,O,D,2008-01-24 00:00:00.000,7688,1860.00,1	0.00	0.00	0.00	0.00,0,0.00
298C073465F5F1202CB7C8E88D709E1A637D2F7B,0,0,,1000.00,0,0J,P,O,D,2017-06-13 00:00:00.000,7548,8600.00,4	0.00	0.00	0.00	0.00,18,510.46
9AD841C88AE391A129906640E3AD2B8EF868D77C,0,0,,0.00,0,0O,P,O,N,2018-11-27 00:00:00.000,1244,1137.00,1	0.00	0.00	0.00	0.00,2,121.20
F2BB11913FA4D4708D96F03531FFF05571E53DE3,0,0,,0.00,0,0J,P,O,D,2021-04-27 00:00:00.000,4257,100.00,1	0.00	0.00	0.00	0.00,0,0.00
CD0F840537A7FCD65C4DA14AC555C81871CC484C,0,0,,0.00,0,0W,P,O,N,2007-01-19 00:00:00.000,531,2538.26,2	0.00	0.00	0.00	0.00,0,0.00
CE2C2B5E671C4767BAA7E4240A2D6964983B7530,0,0,,0.00,0,0X,B,O,D,2020-08-10 00:00:00.000,1277532,97730.80,2	0.00	0.00	0.00	0.00,0,0.00
5F663D16CAAA57D40100E98D9AA2EFFD4FA3B03C,0,0,,0.00,0,0K,B,O,D,2019-09-13 00:00:00.000,498,0.00,0	0.00	0.00	0.00	0.00,0,0.00
3A49231C03047A3E3070054B3D871DCF48D81E15,2,2,,0.00,0,0O,P,X,N,2022-01-12 00:00:00.000,10,0.00,0	0.00	0.00	0.00	0.00,0,0.00
F09CDBDFDE784DA80D630DBF0AC28A3055CE56C9,0,0,,200.00,0,0L,P,O,Y,2020-07-14 00:00:00.000,207,1550.00,7	0.00	0.00	0.00	0.00,49,902.29
280B476CFEB69B9D9FFB1B33EF669AB8B4A285D5,0,0,,0.00,0,0O,P,O,N,1994-07-08 00:00:00.000,2932,6886.71,8	0.00	0.00	0.00	0.00,42,2923.16
ED41130E3C8FFAE97926407EF4AFED28E3F9D6E4,3,3,,0.00,0,0L,P,O,D,2015-09-01 00:00:00.000,914,15618.30,10	90.00	0.00	0.00	0.00,28,1285.98
6919FC3BC36523AFBB60776ADD990C21D13AF268,0,0,,1000.00,0,0J,P,O,Y,2015-09-22 00:00:00.000,19224,24730.61,5	0.00	0.00	0.00	0.00,10,10962.39
50787D9D821CF06BE666630D5BC5DC60F0344C38,0,0,,1000.00,0,0O,P,O,Y,2022-12-21 00:00:00.000,9443,5563.08,6	0.00	0.00	0.00	0.00,46,1765.66
0958DEBF90AE421026179C71835FFCA35502EDF8,0,0,,0.00,0,05,B,O,D,2021-03-15 00:00:00.000,39496,248.23,1	0.00	0.00	0.00	0.00,13,1925.89
CA22D7BD0B727AFD69A9EE45B59986C2AC6DDC3D,0,0,,0.00,0,0D,B,O,D,2009-03-11 00:00:00.000,27704,13100.00,5	0.00	0.00	0.00	0.00,0,0.00
A9F0773786322917148F4C808FA867431C5EAA93,0,0,,0.00,0,0B,B,O,D,2007-06-14 00:00:00.000,6094,18344.77,4	0.00	0.00	0.00	0.00,0,0.00
072B2C6A64673ABB93AA6EE34A2042E77C4E1825,0,0,,0.00,0,0J,P,O,D,2004-08-20 00:00:00.000,30895,4056.18,3	0.00	0.00	0.00	0.00,0,0.00
4EFC6149D16811DDB84729EE23AAB427C3CB607C,0,0,,200.00,0,0J,P,O,Y,2005-01-13 00:00:00.000,5964,4500.00,1	0.00	0.00	0.00	0.00,0,0.00
D8CC44B91B9B3C1C8B75460148E6392832B13C77,0,0,,0.00,0,0B,B,O,D,2005-11-29 00:00:00.000,36691,10000.00,1	0.00	0.00	0.00	0.00,0,0.00
876C011D6759AB3ADF7E2684C86F39066055F242,0,0,,0.00,0,0L,P,O,D,2003-04-21 00:00:00.000,75,0.00,0	0.00	0.00	0.00	0.00,0,0.00
4AE0955F67F6B7BFE1E2FB3055A2F9FC508A0AD1,0,0,,700.00,0,0J,P,O,Y,2003-06-02 00:00:00.000,16321,16686.30,10	0.00	0.00	0.00	0.00,43,6443.96
BDF3BD5EA6E437EB0DD268F10426C696872679AF,0,0,,0.00,0,0J,P,O,N,2003-04-25 00:00:00.000,118978,0.00,0	0.00	0.00	0.00	0.00,0,0.00
AC640200BC3C56F22C4CA1B7F73A5A4857D33DA3,0,0,,0.00,0,05,P,O,N,2003-05-29 00:00:00.000,2856,0.00,0	0.00	0.00	0.00	0.00,0,0.00
46A8C2A36ED794AB3A0C086BE037463507D28AB5,0,0,,700.00,0,0O,P,O,Y,2003-06-09 00:00:00.000,14350,21267.92,6	0.00	0.00	0.00	0.00,0,0.00
09D3EDE49BF00E0133188D466CDF901A8F9DE2D8,0,0,,800.00,0,0J,P,O,D,2021-01-25 00:00:00.000,13944,5800.00,3	0.00	0.00	0.00	0.00,0,0.00
D699570E19CE059D6999E7F1345711C447767CC7,0,0,,0.00,0,0L,P,O,D,2021-09-20 00:00:00.000,233,0.00,0	0.00	0.00	0.00	0.00,0,0.00
D1682278F920627BB2B5804063B28148439D9415,0,0,,0.00,0,0L,P,O,N,2011-06-30 00:00:00.000,4878,4815.54,7	0.00	0.00	0.00	0.00,33,2543.15
8399C866C20F47CAB520925549AE959B8A6679D5,0,0,,700.00,0,0O,P,O,N,2003-06-30 00:00:00.000,14273,57343.42,5	0.00	0.00	0.00	0.00,0,0.00
B8A4234F45F7EF4862C13CC2CFA61562B763BAC4,0,0,,1000.00,0,0J,P,O,D,2024-03-21 00:00:00.000,989,10218.00,2	0.00	0.00	0.00	0.00,0,0.00
FAFBA6E8E2D824EB68700005AA72D97FD3A70155,0,0,,1000.00,0,0J,P,O,D,2023-10-17 00:00:00.000,5264,1558.41,4	0.00	0.00	0.00	0.00,8,369.70
0613B5AD2C08AB810D01B5E072A4F9F367D05AAD,0,0,,800.00,0,0L,P,O,D,2021-12-29 00:00:00.000,3863,1327.74,1	0.00	0.00	0.00	0.00,0,0.00
B59C633A1D3A7689299E51EBC03A5B2D9F1A92BE,0,0,,0.00,0,0L,P,O,D,2024-06-26 00:00:00.000,1476,934.80,4	0.00	0.00	0.00	0.00,0,0.00
ABA21F4797A5130DEDBA7130E628C8921C85B67F,0,0,,1000.00,0,0O,P,O,D,2024-12-30 00:00:00.000,231,4065.78,6	0.00	0.00	0.00	0.00,34,2196.75
57FC3AD4FB86469DADC224DDD45A5D5E6BEE59D4,0,0,,0.00,0,05,B,O,D,2023-02-27 00:00:00.000,18587,3931.72,2	0.00	0.00	0.00	0.00,0,0.00
5F724D78DE33BE0B0DABD39674B0910CE7900B38,0,0,,1000.00,0,0J,P,O,Y,2019-07-05 00:00:00.000,95797,4786.17,3	0.00	0.00	0.00	0.00,11,537.25
F96FA3941C6F71833BBC3F4833C331565686DCFB,0,0,,200.00,0,0J,P,O,D,2012-12-14 00:00:00.000,9808,4324.95,4	0.00	0.00	0.00	0.00,10,829.35
D79FFEF22A2EFD7083C1358016C9CC23EA694994,0,0,,0.00,0,0B,B,O,D,2008-03-06 00:00:00.000,284479,9300.00,2	0.00	0.00	0.00	0.00,0,0.00
6B0B105A8DB9519E6DE930190AD94929EC52D9E5,0,0,,0.00,0,0Y,P,O,D,2008-06-04 00:00:00.000,61362,0.00,0	0.00	0.00	0.00	0.00,0,0.00
BA5709B30F4760BFCCF6A45E5CB53A0458D860F5,0,0,,700.00,0,0O,P,O,Y,2007-02-23 00:00:00.000,3113,28652.08,9	0.00	0.00	0.00	0.00,0,0.00
8BBD4A4FAF169E5F0ADB288B3E50285DBA18E798,0,0,,700.00,0,0W,P,O,Y,2007-07-16 00:00:00.000,682,2400.86,6	0.00	0.00	0.00	0.00,24,926.98
9905BB0BEEF7F06E929B88F55A9F11A85CCF54E3,0,0,,700.00,0,0W,P,O,N,2007-09-28 00:00:00.000,11440,1658.13,2	0.00	0.00	0.00	0.00,7,841.62
771FF8A9016E6ACAB395F01E7FEC1F714212147E,0,0,,0.00,0,0L,P,O,N,2008-04-28 00:00:00.000,2192,6881.12,6	0.00	0.00	0.00	0.00,48,2533.30
E5CF7C7C5D04798FCDAB4FC94CF09FD20E9F3BCD,1,1,,0.00,0,0O,P,O,D,2014-08-01 00:00:00.000,81,817.50,6	0.00	0.00	30.00	0.00,3,80.64
A34F0E7F38AA8758892461AA4C34C6BEA22FA64B,0,0,,200.00,0,0O,P,O,N,2011-12-02 00:00:00.000,1723,5113.59,6	0.00	0.00	0.00	0.00,38,1316.69
D9C6B42AB227EA26DC278E1C63BD0009736CBF65,0,0,,0.00,0,05,B,O,D,2025-01-15 00:00:00.000,9682,7370.40,4	0.00	0.00	0.00	0.00,46,1784.63
610FB7D75FC73995C869FE34D983E7263D75F13F,0,0,,0.00,0,TE,B,O,D,2021-10-25 00:00:00.000,38964,18570.90,1	0.00	0.00	0.00	0.00,0,0.00
70891F52570CC23F535F41401F52933DA801F414,0,0,,0.00,0,0K,B,O,D,2023-02-13 00:00:00.000,14429,338949.74,6	0.00	0.00	0.00	0.00,0,0.00
0E8F4ED9C0859D0710387DB25CDA00249725FC58,0,0,,200.00,0,0O,P,O,D,2022-07-05 00:00:00.000,2564,0.00,0	0.00	0.00	0.00	0.00,0,0.00
2440B513404EA6D5A022CE53E5B4F014834945BF,0,0,,1000.00,0,0J,P,O,D,2018-10-23 00:00:00.000,21210,0.00,0	0.00	0.00	0.00	0.00,0,0.00
A3BB1A54339E8B2378545601B46EBBD9CCB852D1,7,7,,0.00,0,05,B,O,D,2021-04-06 00:00:00.000,391,969.00,3	60.00	150.00	0.00	0.00,1,127.00
5D5265B748F6A16A7EA60788BAFAD59F2595AF37,0,0,,0.00,0,0O,P,X,D,2014-02-11 00:00:00.000,0,0.00,0	0.00	0.00	0.00	0.00,0,0.00
E3A2471D2EE8F886C91B419D5F8E1B501D3D5BE4,0,0,,1000.00,0,0J,P,O,D,2020-11-20 00:00:00.000,3202,8253.94,9	0.00	0.00	0.00	0.00,6,131.03
45A620F13D725548289EF9C9AD7BE2F5C36C047C,0,0,,700.00,0,0O,P,O,D,1995-05-06 00:00:00.000,3380,1000.00,1	0.00	0.00	0.00	0.00,0,0.00
81EDCFE40F05E97136C7F3EC862D2899BB2CAFA0,0,0,,0.00,0,0O,P,O,D,2023-12-05 00:00:00.000,106,80.00,5	0.00	0.00	0.00	0.00,10,114.14
ABEC54E4C68E148B9CE5D80D72F3151D4C35D37D,20,20,,0.00,0,0L,P,X,D,2021-09-17 00:00:00.000,130,0.00,0	0.00	0.00	0.00	0.00,0,0.00
3E055F52EAE8BF892C2D7DB4D41AD6C4F8AC84E4,3,3,,700.00,0,05,B,O,N,2010-07-09 00:00:00.000,8863,167719.55,13	120.00	0.00	0.00	0.00,0,0.00
7231AB0F2DBE76166A1B6AF03899C88E989D4D79,0,0,,0.00,0,0B,B,O,D,2006-11-27 00:00:00.000,91,1253.70,1	0.00	0.00	0.00	0.00,0,0.00
413615CE96367E68BAA5C86C69CA99AAFC867C0D,0,0,,0.00,0,0X,B,O,D,2007-06-15 00:00:00.000,206730,857736.65,43	0.00	0.00	0.00	0.00,0,0.00
A87021CF1903C82728BA929F5BFC21BF6203DBCB,0,0,,0.00,0,0W,P,O,D,2004-10-19 00:00:00.000,5530,3182.59,2	0.00	0.00	0.00	0.00,5,410.28
31421A47263EFBD1D2C934FAB0DA12677E18CE34,20,20,,0.00,0,0L,P,X,N,2005-06-30 00:00:00.000,577,0.00,0	0.00	0.00	0.00	0.00,0,0.00
9A472CCE2A1B94B5A601A0402A9754858FCC06EC,0,0,,1000.00,0,0J,P,O,D,2019-05-13 00:00:00.000,20566,1050.00,2	0.00	0.00	0.00	0.00,0,0.00
9A7C46416B5979A7FE28DA07205DB1618BCF74BF,0,0,,700.00,0,0J,P,O,Y,2007-08-27 00:00:00.000,26013,8976.56,1	0.00	0.00	0.00	0.00,0,0.00
F236F35DA280E4CC66A96B5FBA4741D1B6F1FDC2,0,0,,0.00,0,0D,B,O,D,2005-08-01 00:00:00.000,1196,4500.00,2	0.00	30.00	0.00	0.00,0,0.00
1681C8B10E04AB848F0D2CA667CEEA5BBCC2803C,0,0,,0.00,0,0B,B,O,D,2005-08-10 00:00:00.000,17003,20320.00,10	0.00	0.00	0.00	0.00,0,0.00
28904F931038EDBEA6EE561F698FB8285A636EA3,42,42,,0.00,0,0D,B,X,D,2006-02-13 00:00:00.000,297,0.00,0	0.00	0.00	0.00	0.00,0,0.00
AAC87478FBA949B898D1A8AC4418720202A7A026,0,0,,0.00,0,0D,B,O,D,2006-12-13 00:00:00.000,46952,0.00,0	0.00	0.00	0.00	0.00,0,0.00
2B11AA75E88ECDFD9428E2BBA8C188F46A989B87,0,0,,0.00,0,0D,B,O,D,2010-01-06 00:00:00.000,9401,18049.28,54	0.00	0.00	0.00	0.00,10,2980.90
89DBEAF44D4894334B9780EFFD540A23C1D2A903,0,0,,700.00,0,0O,P,O,N,2002-09-10 00:00:00.000,2271,1790.00,1	0.00	0.00	0.00	0.00,0,0.00
65F55183A7BDF2E06196EDAF82AEB2A7F9938EEC,0,0,,0.00,0,0L,P,O,N,2017-11-22 00:00:00.000,737,4549.06,7	0.00	0.00	0.00	0.00,26,1163.65
D9268F385957CFBE347C139B23D39EA3A17E4FDC,0,0,,0.00,0,0O,P,O,N,2011-06-10 00:00:00.000,377,7979.11,7	0.00	0.00	0.00	0.00,0,0.00
9A36992539040631EFCFD37C43F091AF0E1BCDB9,0,0,,0.00,0,0J,P,O,N,2003-03-10 00:00:00.000,3678,18173.79,4	0.00	0.00	0.00	0.00,0,0.00
9F188511D9DEEC090AF5DE476702540B2E27DBD0,0,0,,700.00,0,0J,P,O,Y,2003-03-28 00:00:00.000,27568,2702.19,3	0.00	0.00	0.00	0.00,0,0.00
D98427AAEBF30A687C2266F1E277E09FFBC28B46,5,5,,0.00,0,0K,B,O,D,2022-06-02 00:00:00.000,0,725972.58,27	0.00	0.00	0.00	0.00,0,0.00
4E6271059B76363F5417F3079962349294311059,0,0,,0.00,0,0L,P,O,D,2020-02-26 00:00:00.000,532,4697.96,9	0.00	0.00	0.00	0.00,36,2804.45
0EEABD26C679EDED893EB2F885E31DF6E168D69F,0,0,,0.00,0,0J,P,O,D,2025-07-30 00:00:00.000,3770,0.00,0	0.00	0.00	0.00	0.00,0,0.00
